innodb_buffer_pool_size,innodb_thread_concurrency,innodb_adaptive_hash_index,innodb_flush_log_at_trx_commit,join_buffer_size,sort_buffer_size,tmp_table_size,thread_cache_size,read_rnd_buffer_size,max_heap_table_size,performance
981707776,15,0,2,16761856,10126336,24468480,44032,111714304,21671936,39.66
1345106944,39,1,2,12878848,5352448,50289664,33792,98463744,21950464,57.21
522848256,34,0,2,13411328,7753728,35969024,32768,67829760,46416896,38.24
163473408,3,1,0,16722944,891904,21550080,49152,81269760,2789376,46.03
2010625024,43,0,0,14394368,4682752,3479552,43008,45787136,12055552,39.96
1150444544,16,0,2,8547328,14005248,7614464,35840,103477248,61244416,34.23
2013129728,15,1,0,2255872,11163648,11834368,35840,16547840,38453248,33.88
1149388800,34,0,2,4382720,5754880,36273152,6144,96989184,40364032,34
2620899328,7,0,2,14718976,3656704,60982272,10240,29607936,43760640,34.52
2755186688,9,0,2,4943872,9758720,37703680,13312,91813888,12514304,33.8
2899131392,42,1,2,15506432,1044480,7352320,3072,85289984,42186752,39.55
190205952,33,0,0,15261696,13467648,26046464,39936,95219712,51847168,45.85
510288896,30,1,0,15219712,14108672,41899008,39936,93721600,7180288,37.96
613190656,31,1,0,919552,10423296,7879680,4096,62204928,24672256,38.68
1473087488,33,0,2,8126464,9630720,7482368,37888,84342784,58438656,34.52
711948288,46,0,0,2540544,11002880,36948992,29696,6987776,46439424,34.76
1080821760,32,1,0,2831360,14917632,38462464,49152,3891200,39435264,33.71
1459301376,7,1,0,8889344,16353280,16102400,36864,86735872,28992512,36.44
2376810496,30,1,0,1320960,13146112,64693248,27648,20042752,52199424,45.3
2315211776,16,0,0,16596992,12238848,6262784,48128,45188096,49603584,33.96
219571200,0,0,2,2871296,15180800,64925696,16384,77649920,27097088,42.23
1535750144,39,0,2,7453696,1973248,48395264,10240,34836480,10831872,33.92
1140900864,13,0,2,9213952,5285888,5315584,29696,64064512,62017536,33.32
1131619328,16,1,0,16241664,9782272,13151232,6144,124847104,43183104,33.66
316735488,23,1,2,4900864,9077760,61283328,12288,42380288,58829824,38.37
2658181120,32,0,0,3868672,13126656,49987584,38912,75922432,39892992,35.33
1468070912,16,1,0,10329088,10990592,14285824,23552,68029440,56460288,33.49
594125824,7,1,2,7241728,628736,66787328,14336,22173696,58529792,48.2
1452986368,9,1,2,4316160,5490688,55706624,0,66052096,7189504,33.65
1910330368,43,1,0,9488384,3519488,63091712,19456,17213440,54368256,34.36
535059456,25,0,0,7865344,10810368,48566272,31744,17766400,12802048,44.87
2614718464,37,0,0,10173440,11402240,37870592,47104,51456000,44935168,33.05
1273916416,17,0,2,5862400,5135360,2833408,20480,42816512,35660800,33.58
1030348800,38,1,2,8028160,2174976,59765760,35840,31202304,20560896,38.38
2520722432,32,1,0,5355520,13392896,18936832,35840,17970176,54119424,33.4
1588078592,6,0,0,10714112,5875712,61408256,9216,112834560,57325568,34.32
1704239104,27,0,2,5933056,3512320,53446656,46080,516096,9890816,33.35
3177810944,31,0,2,5702656,2064384,41355264,8192,116036608,33098752,40.11
3132281856,14,0,2,5878784,2284544,29984768,24576,41880576,54260736,33.38
2067198976,35,0,0,12052480,8005632,62229504,49152,25151488,14081024,33.57
2883149824,46,1,0,16029696,5176320,30157824,6144,128181248,39596032,33.66
2119781376,8,0,2,1985536,1000448,15885312,7168,63598592,3351552,33.99
1558548480,25,1,0,7502848,8708096,48923648,16384,133781504,44347392,42.19
2956577792,34,1,2,13930496,10378240,10166272,30720,32847872,33632256,34.08
2190442496,31,1,0,1731584,7445504,63333376,11264,88133632,38991872,35.84
422108160,6,1,0,3216384,982016,18776064,48128,114781184,39656448,41.22
960302080,38,1,2,3297280,3482624,983040,19456,98847744,17060864,43.52
2197153792,19,1,2,5834752,11700224,49889280,5120,27793408,3421184,33.84
2214579200,27,0,0,6753280,14869504,27609088,2048,84339712,21885952,34.5
401765376,17,1,2,14527488,4040704,24184832,34816,22971392,28720128,43.59
435305472,34,1,2,456704,3510272,43848704,1024,88054784,16026624,38.87
244043776,8,0,0,5279744,1911808,16431104,4096,96797696,50680832,44.79
1146430464,17,0,2,4233216,11536384,38027264,13312,124089344,13795328,42.41
2555797504,23,1,0,3739648,12141568,5800960,1024,26316800,32791552,33.07
788035584,10,0,2,636928,3753984,11967488,28672,86377472,15467520,38.97
1206420480,18,0,2,13095936,10309632,5014528,27648,120840192,60069888,34.05
2090711040,10,1,0,10978304,5566464,34245632,6144,1592320,3908608,34.39
1108783104,36,0,0,3663872,7822336,44030976,34816,92968960,24367104,33.64
480073728,25,1,2,15805440,10812416,31263744,34816,131561472,46440448,38.6
1754011648,34,1,2,1283072,6230016,51361792,30720,55223296,64462848,42.27
1752824832,38,1,2,988160,2956288,23365632,25600,53561344,27068416,42.6
1645587456,13,1,2,8570880,9861120,45828096,13312,78444544,4124672,34.57
1241354240,10,1,2,12423168,3412992,63368192,31744,113231872,64350208,33.92
1144640512,17,0,2,9283584,4496384,25070592,12288,19703808,27590656,35.16
892871680,22,0,0,11374592,10474496,32742400,34816,13553664,29443072,38.63
1449747456,10,1,0,2616320,11323392,14870528,23552,10307584,11663360,34.85
2467621888,13,0,0,11812864,10571776,56311808,18432,6452224,6578176,34.89
1069265920,29,0,2,6915072,4716544,30178304,49152,56687616,62046208,38.34
130846720,18,0,0,14306304,9661440,64407552,48128,97152000,36392960,38.97
725695488,34,0,2,3681280,197632,38064128,40960,60747776,14525440,38.5
2387196928,35,1,0,7084032,10077184,18906112,5120,62738432,26269696,35.82
2762255360,46,1,0,9913344,759808,29231104,50176,24526848,17957888,33.86
2433378304,9,0,2,10552320,1602560,59241472,25600,96888832,2652160,44.01
1197811712,33,1,0,5097472,863232,37670912,12288,63745024,62526464,43.88
2844351488,27,1,0,15285248,10770432,28196864,10240,22213632,10227712,34.42
