STANDARD_CACHE_SIZE,LOWER_CACHE_SIZE,HIGHER_CACHE_SIZE,STANDARD_PAGE_SIZE,LOWER_PAGE_SIZE,HIGHER_PAGE_SIZE,HIGHEST_PAGE_SIZE,SECURE_DELETE_TRUE,SECURE_DELETE_FALSE,SECURE_DELETE_FAST,TEMP_STORE_DEFAULT,TEMP_STORE_FILE,TEMP_STORE_MEMORY,SHARED_CACHE_TRUE,SHARED_CACHE_FALSE,READ_UNCOMMITED_TRUE,READ_UNCOMMITED_FALSE,FULLSYNC_TRUE,FULLSYNC_FALSE,TRANSACTION_MODE_DEFERRED,TRANSACTION_MODE_IMMEDIATE,TRANSACTION_MODE_EXCLUSIVE,TPS
0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,52.98
1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,52.68
0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,53.42
1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,54.27
0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,53.54
1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,54.59
1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,52.94
0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,52.95
1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,54.57
0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,52.97
0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,54.1
1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,53.89
0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,52.48
1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,53.17
0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,54.46
1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,54.16
0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,53.9
0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,52.86
1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,53.76
0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,54.04
0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,54.11
0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,53.41
1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,54.11
1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,52.7
1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,53.63
0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,53.39
