write_request_timeout_in_ms,read_request_timeout_in_ms,commitlog_total_space_in_mb,key_cache_size_in_mb,commitlog_segment_size_in_mb,dynamic_snitch_badness_threshold,index_summary_capacity_in_mb,key_cache_save_period,file_cache_size_in_mb,thrift_framed_transport_size_in_mb,memtable_heap_space_in_mb,concurrent_writes,index_summary_resize_interval_in_minutes,commitlog_sync_period_in_ms,range_request_timeout_in_ms,rpc_min_threads,batch_size_warn_threshold_in_kb,concurrent_reads,column_index_size_in_kb,dynamic_snitch_update_interval_in_ms,memtable_flush_writers,request_timeout_in_ms,cas_contention_timeout_in_ms,permissions_validity_in_ms,rpc_max_threads,truncate_request_timeout_in_ms,stream_throughput_outbound_megabits_per_sec,memtable_offheap_space_in_mb,Throughput
198366,219158,1353,12780,971,0.773354292,6676,11091,4476,4,5729,3654,6,200253,52276,860,3599,194,27155,12083,12,23265,13040,15007,1716,230342,7508,9953,1073.998496
106445,53273,11937,8875,813,0.035104275,10493,6993,3432,13,10040,3342,11,167403,246838,69,41910,87,14146,7775,22,18230,15441,15039,2792,214710,2278,8468,1074.229241
30713,5867,1105,12602,696,0.611559868,12188,4622,14585,24,1557,1522,43,207106,36307,178,15822,217,58761,3727,9,7095,7816,7732,1767,155443,773,1818,1074.34465
169053,53001,13808,9858,163,0.862997532,4469,1532,7725,4,1403,2136,18,106033,2283,645,51628,1038,24434,7330,15,20982,21630,21700,3356,52512,6004,13098,1074.34465
52923,185999,12891,5188,155,0.645308316,10020,12631,6901,23,12418,2729,57,50693,97996,313,32158,206,57478,21065,18,4439,11450,15093,3315,88588,5408,5331,1074.34465
164656,105829,7610,2348,1434,0.129330993,11997,13265,4126,8,1177,3420,34,90083,185450,345,4883,58,35459,12803,15,18659,22429,11080,2180,16309,3110,2523,1074.460084
204336,156316,2814,6571,623,0.765824437,461,2564,824,23,6045,1643,17,181182,70445,328,88589,1050,14210,2713,17,4772,17146,16285,1636,76869,6484,7361,1074.460084
42182,156317,14443,6363,751,0.451612473,7077,4753,2489,3,1270,1036,52,152522,188802,92,44212,1568,6315,9766,18,707,6516,22417,3765,66292,1822,13807,1074.460084
172504,43993,3464,11641,1834,0.870627701,10529,10258,1737,22,4467,2159,53,59184,30486,135,73545,1889,8061,21307,15,18578,14631,16874,1871,44054,6387,2629,1074.460084
119875,246887,1151,1178,492,0.864608526,7744,4516,3395,27,7221,561,24,131661,232371,616,16235,1835,6391,6289,3,19637,14417,6002,1620,162780,5266,4947,1074.460084
73482,225590,3537,12791,1820,0.028534412,8711,14020,6824,24,7099,1760,48,96323,190285,717,31964,765,41557,17530,4,21967,14563,5937,3701,124940,5966,14198,1074.460084
225293,226901,7188,9687,232,0.743487,8854,13546,4485,24,3399,1943,26,242088,9723,187,96513,1148,35448,14795,25,23790,22557,14650,2601,123125,3428,3869,1074.460084
35725,62299,8386,1981,178,0.202668428,4012,12420,11041,6,14795,177,50,126980,229798,693,66287,601,10600,10480,20,23787,9336,23989,2211,176850,4011,11281,1074.691026
72162,222731,4410,10565,1195,0.345731854,12417,9446,2392,5,7429,3243,53,89212,97031,370,88921,1899,11801,12495,23,8297,9887,16482,3398,163470,7152,1603,1074.691026
180956,198134,3708,10657,1012,0.867088616,1839,8828,5908,14,1903,48,59,157329,152295,135,52218,1140,46311,4920,21,20801,6478,24999,1188,77819,2723,809,1074.922068
77177,140317,9347,6072,1214,0.7259987,5425,10075,12832,16,4516,390,22,28602,177771,634,49011,444,47369,12554,23,18479,19430,8837,2695,138003,5808,8096,1074.922068
91583,159921,982,14299,1037,0.652548611,6200,11984,1478,5,3057,1305,50,111882,103248,596,2532,1569,38367,2824,11,16689,7227,16062,2178,135006,1177,6558,1074.922068
43998,30538,1194,5576,446,0.334093988,5688,9760,7677,23,9666,939,10,168310,47151,51,58002,1147,13419,24515,10,20602,20350,1930,3666,194084,7158,3774,1074.922068
102995,202963,13124,13957,950,0.083099008,7495,13610,1184,19,8286,1843,27,69914,195787,127,9559,648,33542,10235,19,23594,18780,24665,1484,158581,566,930,1075.037626
75465,94421,6628,1903,1835,0.383850634,3776,1938,6519,23,6021,2730,40,194485,58731,532,89983,961,36136,11632,25,7190,16280,13817,2820,169185,1574,10117,1075.268817
84765,242087,14556,2401,1819,0.853836179,5384,7210,2622,24,5095,2265,59,209498,214277,960,13166,1736,22476,16757,22,17691,9432,12340,2780,234064,7710,8711,1075.268817
196391,38972,8603,4420,1126,0.112253189,920,340,13904,25,10476,678,52,107527,215523,103,10686,1931,35500,22087,9,13694,22233,17600,1527,208411,3235,6761,1075.38445
12150,162117,4661,3045,227,0.011687398,13600,3318,2106,15,9300,547,6,55726,122334,328,50556,540,41083,19883,3,8235,8289,6887,1995,223799,390,2433,1075.500108
139817,106704,12728,11875,1078,0.90702635,3956,7378,3926,11,10104,374,19,113118,120152,536,90773,351,42169,12616,13,22615,13624,18111,3255,159011,4403,6835,1075.500108
179008,120876,8536,9111,1791,0.002960563,10132,11351,8342,25,8978,3119,19,103235,190897,588,61916,1307,49152,23717,9,15325,4182,3325,2728,196962,3626,4069,1075.61579
64036,248560,11123,1406,1921,0.031284213,3568,11965,6467,6,4751,900,58,209286,120054,689,73316,1997,24437,474,7,10177,15547,11103,3636,236613,5676,7038,1075.731497
158026,129340,821,2451,655,0.390515506,1405,3072,8744,26,4677,672,36,97726,61200,878,44453,1960,48107,8049,23,16387,11195,2084,1384,39357,7199,3818,1075.731497
51724,122953,13173,7264,1658,0.305109918,498,899,14719,2,5062,1492,18,5223,63657,895,32235,1260,14435,21587,6,3893,15001,4618,2414,124337,7058,3677,1075.731497
118237,149352,13503,13116,1028,0.76456219,3604,3055,1294,17,875,1578,3,83134,228745,413,61573,120,59018,7489,5,16679,20622,12381,1882,211006,7829,6492,1075.84723
60607,25716,232,9228,1026,0.522454083,8921,5800,13303,6,6474,2356,20,201742,22706,358,22936,1779,59499,4227,14,23446,16235,14063,2847,10932,5121,10753,1075.84723
18472,140544,10829,8288,1831,0.075348496,1366,8784,9846,23,1484,1972,46,176244,175720,301,35878,1917,44116,24536,8,439,15558,17387,1753,90562,6215,9505,1075.84723
76017,16291,2060,12954,1119,0.516102731,11172,6960,3412,21,2658,2849,11,159968,190246,785,81124,937,34021,16454,19,18456,6590,12302,2276,246576,3369,2172,1075.962987
156464,198527,6854,8651,110,0.879179776,10174,6889,1610,28,7746,2755,57,24436,130838,69,44863,925,1796,6913,15,13055,6477,12166,2866,19612,847,4755,1075.962987
194202,119685,7379,12211,1617,0.830661595,14839,5897,5055,26,1850,1520,35,225369,34794,532,92265,1719,41703,9620,4,2178,5832,14865,2561,210510,4661,11812,1076.078769
231538,33881,13406,7391,1741,0.967866957,8589,5421,9613,19,12452,937,53,126666,68259,396,49653,1062,8721,9292,5,11015,20884,22741,1915,51567,1051,13008,1076.078769
230910,136682,4010,12278,1052,0.005833685,9294,9953,4494,16,14152,3167,34,244767,189295,902,24750,1659,22822,7454,15,10719,2639,24592,3257,44041,7734,6722,1076.194576
19168,54157,4358,10891,1097,0.397676289,8265,12758,11501,9,3461,2984,38,236224,124745,636,64784,1266,2915,2187,24,7038,1792,3753,1934,22406,3898,13001,1076.194576
50324,123968,12049,5548,1274,0.690857947,4514,1349,2520,24,10754,443,14,47272,237795,374,24592,1096,6524,1934,8,17675,6659,20746,1227,27169,522,3947,1076.194576
120016,239392,7639,7315,1340,0.452776432,11868,2861,4510,10,12287,2564,34,34702,206092,351,26139,1210,17420,3039,17,22471,3850,3587,2807,57735,6510,670,1076.310408
219089,228676,3744,13753,632,0.233562469,6828,13578,6443,20,12271,3100,39,104935,35145,99,82841,1489,36950,11055,19,1633,16044,21543,1058,150066,2097,848,1076.310408
75126,213447,2812,4483,1655,0.404293418,11546,1820,14701,9,2385,3529,60,47113,124850,118,64304,1469,1643,23453,2,17435,14428,23609,2116,209313,5347,10274,1076.426265
8928,215604,14786,14002,172,0.845008969,4391,7391,9017,14,13317,2394,13,241941,148145,301,41573,90,19650,4803,15,18491,10062,9581,2731,24702,7804,472,1076.542147
122380,160256,12725,9538,605,0.025100112,14913,6854,11030,25,4625,1634,43,88999,148016,652,50267,1910,32591,12864,17,24922,6286,3302,2083,162229,6747,3706,1076.658053
103216,143594,6027,13884,814,0.385319591,3985,7198,14968,5,6099,3656,10,54488,39346,224,31374,347,3815,15481,8,954,16640,5087,3141,245743,5142,4424,1076.658053
86326,185059,14961,4736,1550,0.386582315,1429,13833,6319,24,1599,1684,43,185606,31191,591,10347,1985,9315,13283,14,9686,4765,7619,3217,130923,6523,12118,1076.773985
40250,78953,6940,3848,1150,0.94311285,10115,12507,7481,3,14963,3669,30,51596,169007,16,49367,293,8695,18404,9,9513,1048,17811,3661,194963,5134,9904,1076.889942
163687,229554,2803,13047,52,0.746365368,3626,3942,5717,12,13739,779,13,144544,194836,143,11735,1454,5483,8677,6,4860,21448,20630,3557,11824,6706,659,1076.889942
102449,181169,3339,13043,532,0.742411971,7800,10574,2232,4,4225,1542,8,109899,143228,268,26471,1438,5153,15935,10,21593,9244,2721,2072,143751,6212,5320,1077.005924
22776,139133,6165,906,744,0.90165925,5875,9667,11202,26,3830,2379,57,88649,196164,574,9851,269,17006,6018,7,16400,5827,24632,2965,185052,5938,3682,1077.005924
90024,51616,12006,9110,1505,0.007746756,4184,13869,2451,28,7258,3488,33,131579,27590,481,97472,1783,49340,1006,20,19076,8595,6043,2244,57566,3574,10571,1077.12193
4045,231041,2423,8467,1849,0.64365375,4370,4859,5968,11,517,2696,11,185858,10038,844,69990,800,39380,5269,14,24331,12900,2380,1782,63507,6374,4293,1077.12193
224708,49999,6591,3250,1696,0.22563237,2424,3144,522,6,2295,318,45,238910,58594,136,6396,1943,29308,22761,28,6678,10515,20081,1543,103815,180,3383,1077.237962
185600,55648,7176,11433,948,0.303572834,4743,351,7746,18,4684,388,46,21810,129599,43,65465,504,39661,23139,24,8672,22827,24056,2097,158876,5477,1745,1077.237962
42442,47214,3432,6807,1165,0.228342652,6501,8524,1978,13,14444,2891,35,121921,245173,469,45364,208,36057,14594,6,10000,1892,16029,2482,130280,4600,8425,1077.237962
151430,80481,5987,9805,1820,0.672491252,14594,676,13890,16,5020,2656,28,236429,47080,946,98398,632,22471,22966,22,6095,11039,24605,3485,224369,3978,3044,1077.354019
198348,180446,7293,9058,1716,0.099530697,12071,49,5242,25,3066,1400,36,28224,18987,251,75541,103,8837,17293,28,21205,18581,4198,2125,102837,1829,6139,1077.354019
244451,50388,5534,13986,933,0.297710717,2092,13043,12775,2,10975,83,44,23771,75752,15,12713,1934,50302,15714,20,12712,11801,12316,3310,238066,4693,13164,1077.4701
61789,164118,13867,8859,2024,0.430681646,12671,7780,3263,6,1236,2618,41,138573,235574,874,38162,1439,42964,5262,15,14590,7675,21570,2360,64014,6499,12380,1077.4701
100450,198597,13064,14945,1615,0.812772155,14481,12763,10091,16,1581,73,32,28736,139318,93,47395,588,2883,23681,28,16060,6086,23040,2667,222123,991,6136,1077.586207
92259,193279,1603,9957,1776,0.355548978,4747,12496,13273,17,13035,1149,48,76356,76119,419,86165,1736,59343,18250,8,6000,1401,4469,2951,233687,2214,13714,1077.586207
113137,96465,4469,8180,1167,0.575603187,14381,12125,1430,27,1956,3630,38,232069,202040,749,30622,1399,50670,18909,2,22985,13458,7529,2020,225369,3667,6658,1077.586207
73636,163529,6992,14258,900,0.487140059,6056,6782,12574,7,5400,425,29,135615,17314,460,39135,1444,59043,10778,21,7372,4310,19115,1510,82249,7282,2529,1077.702339
126702,14552,9927,10616,1445,0.825473428,13394,5861,8944,2,6534,3296,13,150373,114342,983,73581,1753,16474,17303,15,24557,24156,22650,2799,189872,4599,12534,1078.050884
62003,500,5813,3276,331,0.419144511,4569,7345,6293,21,8141,725,52,246860,34157,699,12496,1487,32884,21207,18,14395,17616,16681,2841,249067,555,6762,1078.050884
151985,218782,11892,7484,676,0.088131249,2098,536,5178,16,9565,446,57,55320,103529,381,85908,1666,36264,22649,17,5436,22871,3670,2632,222716,4246,5259,1078.050884
105052,145606,2233,14069,1165,0.557807982,14106,9178,9578,6,1023,828,43,217561,36873,691,44952,425,10952,23439,16,22155,2160,8102,2694,127642,6705,1056,1078.050884
243588,108891,2296,12576,788,0.591533601,1831,3641,7249,2,10480,2262,14,49442,83100,582,64811,797,53023,974,4,15700,23461,12435,3107,29579,6567,3913,1078.167116
162290,176279,12860,12278,1344,0.820975006,4921,3366,2493,28,5814,2166,15,163537,200834,270,41565,1668,11977,704,6,24056,12135,10284,2994,202865,749,7859,1078.399655
183700,157026,14711,12661,758,0.332807004,388,1889,12991,24,3448,3768,30,180043,171142,548,37948,684,54713,16035,4,16861,15871,10830,2213,62995,4066,6495,1078.632294
18775,85445,1594,8130,995,0.599260688,7055,14306,1758,7,2887,3591,5,207438,71248,819,40721,634,11791,12800,6,10333,6026,15174,1235,134099,1228,3490,1078.632294
123572,9799,13373,12996,541,0.277115107,9418,1618,6858,10,10198,1437,53,202749,150055,396,51137,1729,18193,15420,8,791,9374,8387,1623,140916,706,2817,1078.632294
76074,234476,8443,13244,1485,0.551019371,6882,9211,13209,17,11457,3628,6,172903,82499,257,10093,1765,36716,16961,6,1375,4475,19911,1872,26547,510,5908,1078.865034
95775,107503,13463,13764,200,0.918882132,996,408,1753,9,5706,3419,32,198191,200321,203,74654,1451,36721,3151,18,22044,2517,7478,1972,79749,5707,11954,1078.865034
77238,82752,6182,11196,1862,0.315483034,9247,5190,9506,11,3050,833,11,29811,135505,271,65844,722,2207,4032,19,2360,15903,8994,1816,51552,7295,10079,1079.097874
221269,129695,13321,8083,339,0.375666857,14653,13806,805,25,10419,1654,38,215396,18626,576,1669,191,2647,7004,3,20136,24055,16586,1421,143620,6304,5263,1079.097874
9398,74616,8087,8093,1799,0.572090387,1166,9978,1071,19,13696,2111,37,205982,81786,778,3056,335,11650,5931,20,20729,1401,23533,1067,177931,6623,6988,1079.097874
35278,26971,8304,5801,212,0.959888399,3474,12709,6048,19,5916,1968,3,123991,71032,30,22943,234,36283,4462,17,12980,12667,4839,1374,88294,166,12567,1079.214332
181246,840,4942,11635,805,0.391304135,10371,12602,1388,8,7077,3702,50,49170,92579,706,14435,1997,10229,16645,9,16807,1040,22448,2448,96011,7940,13652,1079.330815
73991,130300,1566,14416,1908,0.598014057,14791,4349,10497,12,7255,2420,26,215702,14131,222,93167,904,40740,7338,25,20889,14364,18276,1132,215625,733,13808,1079.330815
79508,10797,951,4154,1013,0.724992514,14855,1911,13532,26,7529,1319,26,229221,98164,756,11319,309,5144,23616,18,6084,1906,12041,3033,205458,7448,612,1079.447323
19878,180288,9212,2328,301,0.380254447,10836,2597,5363,13,13448,3161,18,123613,247069,681,91829,1365,26516,4699,18,2931,21103,23763,1725,128724,6034,9964,1079.447323
236119,206005,13346,1123,632,0.707879722,156,136,13929,2,2799,3519,16,77149,71409,970,59586,1364,14210,19098,4,23697,21280,23725,2116,201437,4243,10775,1079.447323
184877,243234,14195,7037,89,0.155182838,1496,11122,730,23,5038,89,56,229655,162791,572,99638,1740,2592,13362,15,14713,17125,18018,3454,26611,4168,7026,1079.796998
14059,241751,10223,4731,644,0.089035988,1803,6449,13273,12,13752,940,3,65596,184555,348,46768,1277,25250,10902,23,8850,10064,9607,3535,228510,1339,2971,1079.796998
135470,226017,14100,7773,1840,0.622276485,6112,2892,10517,8,2175,3093,51,57699,49286,768,99426,1076,20669,22962,23,1312,18826,21693,1093,132052,5822,11608,1079.913607
181726,60973,10917,10450,2020,0.601015568,2317,12082,2170,3,9797,2475,46,209468,169917,997,49411,327,48928,5626,14,8392,23050,11299,1386,247756,5560,13737,1079.913607
185721,164789,8365,323,1370,0.961057544,3383,1838,401,13,11829,1900,23,237046,56801,980,80905,601,2825,18909,27,9962,12489,7737,3716,125289,7403,5118,1080.030241
36433,50168,14023,13654,1097,0.375871778,10746,10644,14342,19,12687,29,6,10181,162783,134,33816,1982,20582,14288,21,20448,2336,23678,3635,141593,3177,6469,1080.030241
160998,95275,12212,7612,1494,0.852804959,6081,5767,3143,16,13697,1412,50,59032,195661,368,41050,209,15928,23383,2,20165,20545,23691,3435,184663,1008,8856,1080.263584
226795,67255,12681,3723,1533,0.232978225,3572,13233,4477,5,11367,342,16,151942,49602,340,84342,1104,12368,9816,14,23083,12442,6631,2600,244160,735,5012,1080.263584
91279,74321,11592,288,420,0.869436264,1864,2567,4591,10,6669,1656,4,106139,170751,557,57190,338,9396,353,15,18142,13895,5480,1773,8294,7434,5800,1080.380294
60172,60347,13885,6237,1285,0.778370261,7582,11363,14224,12,13806,2148,23,195721,175671,195,89131,278,28043,9838,11,3114,20684,24758,1146,32637,886,11270,1080.613789
70438,135143,10952,12394,670,0.741659164,7465,5346,4858,19,9137,2301,19,203978,16256,294,52248,262,25774,9597,22,17002,19387,14222,1118,41634,7147,6088,1080.730574
74441,222004,683,5543,789,0.300040603,10091,5654,6572,16,7524,1530,15,56433,171670,462,80686,1164,56449,21068,16,11964,11367,1626,1479,103565,2347,10881,1080.730574
20054,204380,10192,10647,811,0.563031554,1140,11437,12813,10,7224,3464,11,204863,16191,907,83971,104,6331,19192,14,7200,1726,4490,2805,101442,2213,3619,1080.730574
161905,236477,13985,7285,548,0.762098849,4099,12019,13529,27,8370,1174,48,89765,106698,536,82654,1544,21259,6801,13,17914,10909,17933,3351,239534,308,724,1080.730574
79597,240540,898,12299,614,0.198649168,8622,14007,11243,24,10556,3041,57,45013,236216,648,99522,647,28313,3634,10,3014,21871,21613,1114,218481,340,1623,1080.847384
166811,160755,3237,2021,1550,0.279145062,5384,13277,6453,15,9555,2339,15,90803,109122,430,1978,1313,49141,12492,26,21826,20770,17977,3782,159049,3341,3814,1080.847384
83972,94278,3613,6308,400,0.515906692,6544,9351,7275,6,8413,2049,5,47897,248329,51,55928,1121,24178,20917,26,10249,22975,19207,3783,245947,5974,1982,1080.847384
43399,33946,5315,6245,1638,0.029487133,945,10763,5427,7,3862,3297,29,5624,72292,568,63030,404,42026,6008,3,16381,23325,16835,1058,147228,6266,7002,1080.847384
125543,188163,10094,14372,170,0.186331749,8664,2981,8251,26,2619,2000,43,70565,63194,613,35442,42,584,19907,28,12013,19931,9423,3013,139809,7818,9642,1080.96422
69780,111759,8034,5915,722,0.973953843,2262,7822,7394,26,13097,1308,48,22715,222823,56,25063,898,691,16204,20,10125,4873,20517,1509,159294,7154,10458,1081.081081
217133,162002,10313,12551,1816,0.34633708,3290,5385,3056,17,6763,1755,41,32964,94076,570,80926,603,28315,15233,5,8113,15162,16943,3125,120339,2436,422,1081.197967
72428,109634,8413,4904,1551,0.267603517,4921,12146,5813,5,8187,1611,20,82488,116434,198,79165,1764,22368,8204,2,11088,20435,11239,2881,103191,4391,10520,1081.197967
72183,109656,13062,8131,1800,0.89244175,14842,13462,13490,25,8180,1424,12,64913,122913,89,22500,1644,22095,6248,19,16840,17032,23209,3402,226693,7290,4576,1081.431816
229637,45578,13850,3113,201,0.927177727,10314,401,292,5,7545,105,16,73737,154840,15,30599,738,54319,14310,11,10707,22463,14049,1932,10826,5964,13884,1081.548778
241498,205160,13134,12103,1001,0.228316486,10657,8842,6522,10,8712,3690,36,242288,107556,653,13057,1846,13598,15966,2,23319,1927,24007,3100,163234,5613,7988,1081.665765
22564,92195,10859,8724,1722,0.847672105,4080,3313,10781,25,10966,2590,47,53119,32950,128,44392,971,9144,21056,13,6212,24596,22435,2608,167092,3727,3594,1081.665765
66054,17435,6385,14757,1065,0.206145167,10653,13484,5180,6,13086,2663,38,151896,30769,674,47289,1848,51436,16328,9,5708,4185,21737,3418,219643,1598,13320,1081.665765
60776,226741,3956,407,53,0.649301767,14923,3824,8612,18,4154,1509,13,125529,40696,927,57511,475,17253,1750,9,13438,7934,18289,3562,30498,491,10698,1081.665765
92094,227529,2282,8170,1797,0.688277006,3760,13635,8507,24,5345,1744,22,162576,64862,148,14106,1221,29499,9457,3,7062,3218,18948,2468,121765,7212,7241,1081.665765
85645,63083,6889,7192,1924,0.71768117,11828,14299,7112,2,1633,2581,42,86233,180542,906,98074,1522,57338,21274,19,9324,5596,11704,3587,63517,4330,11229,1081.665765
127453,13507,3114,10892,1357,0.455608606,853,1851,531,18,5148,3309,22,166716,33827,837,18107,889,27749,18632,19,4479,20618,16587,1639,119026,5988,2669,1081.899816
144091,63131,9904,5202,1990,0.867161512,1155,3441,9300,10,9596,458,5,69016,179664,216,84539,1578,32639,21564,10,16640,4551,18226,2938,201047,5105,12088,1082.016879
86814,209783,3068,8050,1353,0.874002337,5316,1873,5846,6,6165,2950,13,46989,41629,282,77947,602,36982,7447,8,22538,3227,9922,1887,29146,3775,13444,1082.016879
243906,224862,5996,13707,695,0.717381001,6499,6127,3255,11,1943,1312,32,211751,17485,598,84910,296,37537,12836,23,18316,8773,19522,3601,186285,6539,3774,1082.016879
120209,50660,11946,13353,330,0.61196667,9516,10059,3763,24,6500,2971,45,188994,128076,899,20226,875,15919,2159,4,11483,14252,5264,1559,125881,1364,12819,1082.016879
100714,239757,9270,9091,1587,0.446590781,8759,4626,12840,28,9435,3766,49,207076,163313,864,40927,1602,27164,22083,11,4459,10162,17038,1496,5101,3713,13717,1082.016879
91733,196368,5853,9637,201,0.100251198,5626,10133,4715,27,11943,1367,5,215606,60517,169,96226,432,59990,19455,27,13866,2949,15380,1300,202863,7925,7188,1082.016879
124569,68623,6614,4528,1995,0.512547255,8863,3989,14563,8,9745,536,9,54348,217823,859,21062,1903,28657,6495,23,22106,17898,9602,2569,203112,7932,3866,1082.133968
193224,116411,12061,11912,486,0.485966325,11778,12235,2357,19,14385,2208,50,116850,165727,189,58402,1200,26836,13842,26,23086,2903,12986,1095,19231,7290,11516,1082.133968
103829,191037,10250,3376,1190,0.796612382,5943,13500,8056,13,2145,2678,37,122820,112003,812,56762,1561,17964,242,24,9105,12728,11562,3562,62338,7495,8536,1082.251082
140493,19216,830,13345,612,0.144140542,8796,3555,1418,9,5018,1820,49,20493,205409,691,45675,531,58673,5501,22,14198,2792,8720,1630,228642,1038,3690,1082.251082
55742,59050,1218,12137,60,0.941929817,13483,2681,5630,27,352,3723,7,230681,214483,387,12864,1703,30166,24081,5,7987,11901,22735,3406,166601,2162,4259,1082.251082
176740,36664,1964,10595,109,0.993599474,114,6140,535,11,2134,852,22,149504,27837,10,56211,1677,3396,11681,24,14502,21207,11271,3441,90001,4868,11959,1082.485386
103303,207225,12210,10270,231,0.519856155,706,6539,11047,14,13594,704,6,183999,130105,308,82772,1325,26157,9242,14,20738,5579,5255,2325,89283,3438,12669,1082.837033
184405,58498,2713,5736,1644,0.445114315,6092,6514,12140,12,6920,2230,4,191428,54818,48,46348,1349,4783,17299,22,11131,4552,15888,3301,127801,4164,5949,1082.837033
61339,186592,3486,12307,1045,0.069838822,10810,869,13857,14,13662,506,10,51027,158996,90,36467,702,49961,3334,21,21490,20739,8730,2513,29119,1575,7439,1082.837033
245232,72049,13602,14703,721,0.1968413,2400,6823,12737,4,5961,3460,26,192325,175832,783,46116,238,35337,1347,10,13861,12457,1619,3344,109388,6873,8293,1082.954299
65620,216234,2485,14649,1155,0.845489025,4153,7892,8931,25,13708,3127,41,14686,159356,146,23408,386,33213,20869,13,16946,11845,23903,1274,113159,4513,1493,1082.954299
116633,176592,5643,8082,1727,0.724759698,7619,8372,1234,5,8144,1419,12,172893,220061,719,19711,1433,37450,1508,22,176,22848,15398,2357,145756,601,14076,1082.954299
170053,239727,3815,13120,49,0.079511762,10052,13450,11290,21,1298,2262,39,60944,152565,615,68264,1683,19303,18381,12,14592,10958,21139,3093,48216,1133,5941,1083.071591
205947,193083,5722,5604,815,0.386087358,2575,5432,1603,23,5021,896,55,123680,226981,93,97505,624,10167,23213,7,11770,2748,15687,2666,76824,4822,4645,1083.188908
103558,15005,4892,6960,1525,0.397550821,6977,12143,4156,14,8610,2695,27,60319,106342,494,62348,1772,33397,2909,4,21775,10316,4915,1966,46410,7295,9077,1083.541012
104855,10264,7788,9114,1859,0.504683495,9935,13550,4971,2,3945,1260,26,122818,176661,475,89050,360,14201,18053,6,23860,14739,17506,3289,29837,3956,12780,1083.541012
99694,108001,4386,13321,1855,0.805651367,3075,10525,6185,4,8800,2006,32,24489,29694,302,22223,1186,9008,7094,14,20723,17508,10979,2549,243819,140,12816,1083.541012
174936,244640,7670,829,595,0.18096149,6143,11964,8844,20,13082,655,36,89146,29898,945,66311,1563,1078,20559,3,5688,16697,9102,3078,162130,6002,12863,1083.658431
242831,73991,3636,8976,1282,0.931384146,7437,6604,5634,14,1826,3437,46,67258,174219,746,75669,1572,41800,16641,12,16270,6780,7128,2310,72895,3895,4098,1083.658431
39985,120170,7995,11176,1263,0.979270935,8421,5071,708,10,4842,3695,2,215732,48145,635,76487,1792,26172,3708,16,19510,11818,22803,2860,113237,3623,13677,1083.658431
96410,180865,13028,3793,503,0.482065797,3566,4272,8410,17,1471,2478,10,121171,79842,61,56404,969,53808,18663,22,19767,23825,11271,2035,140462,369,660,1083.775875
217269,77058,9314,6087,996,0.856245518,813,8146,5690,19,2473,975,38,218541,110672,279,95000,1080,9917,9635,14,4157,10984,11012,1402,243485,4446,10792,1083.775875
116108,233604,3040,4298,286,0.023299694,14287,11930,1845,12,13513,2520,27,68787,155388,124,27010,1137,37505,24491,13,10419,9540,3851,3697,71462,6395,5418,1083.893345
181680,176834,10453,6601,736,0.451774955,5579,14013,10148,13,7273,2031,26,96351,9827,37,23638,358,54940,13997,14,14130,22493,5452,2892,167796,1043,5852,1084.01084
78530,150375,8129,2368,1789,0.995096743,11455,13341,12349,26,6165,3266,13,23378,228066,500,12959,1974,57763,7881,27,5491,1220,8729,1183,180099,7522,5011,1084.245907
163091,93856,14991,14868,1138,0.730459511,3608,11603,14138,4,9446,523,34,109615,115231,593,48160,845,57937,12193,24,11389,17321,4134,3566,134135,7435,2787,1084.363479
220174,131594,3808,14514,1720,0.435535312,12435,12564,9384,27,7681,2071,29,42667,38100,131,78970,853,49295,21472,11,24854,22783,23064,3474,247487,3553,3697,1084.363479
137480,99340,14700,11631,1618,0.760396898,2127,13859,694,19,9983,105,19,224987,54022,971,4421,992,50309,2085,17,11337,8361,16189,2323,16919,427,2749,1084.363479
48243,123826,4191,2447,187,0.161467552,8390,14054,4951,18,10536,1597,42,117124,158779,671,90354,737,32339,1124,10,21712,9174,18037,2882,53233,964,7040,1084.481076
138049,206996,13698,3349,1917,0.106609285,5625,11929,2747,23,12743,2813,37,16320,203905,315,41192,1457,34928,22995,11,8638,11749,7872,2597,95864,7917,14530,1084.598698
2437,59951,3861,6859,1749,0.56300056,3879,7686,2973,28,14101,1627,36,239425,158084,243,13958,1593,20508,22422,11,17270,12455,23038,3166,115388,7862,1479,1084.716347
102640,139583,4410,13934,1067,0.391946793,11490,8955,1874,22,6079,1234,53,176541,202762,531,65701,1338,31942,18739,12,21855,5646,15206,3686,3987,1757,9231,1084.716347
244785,67537,6104,9725,98,0.749659002,10393,12424,10305,16,8346,2513,40,182825,7525,89,73185,1456,45556,9262,4,14181,17262,24113,2814,171893,2066,9942,1084.716347
171970,41476,7990,9492,547,0.586687505,10333,11216,14982,9,8348,69,24,187344,182706,140,81290,775,47187,1408,16,18179,24514,6099,2496,197287,4170,10033,1084.716347
2440,208082,3237,3895,60,0.976625204,1623,11032,12164,5,14005,3199,15,162560,22120,878,26107,1216,31539,7191,16,11304,21515,12281,2050,97793,1506,10625,1084.83402
54599,13406,9324,1016,647,0.663800001,14933,11908,8672,4,11442,2846,57,43626,137856,890,53104,1834,39463,2845,26,23591,6215,18392,1567,69776,6172,10792,1084.83402
68888,19769,11928,7531,1978,0.103160977,7797,3820,1339,16,11142,57,52,166106,216874,860,23098,1449,13230,4492,16,3053,15306,19187,2496,72169,3454,1703,1084.83402
