repl-backlog-size,hash-max-ziplist-value,hash-max-ziplist-entries,list-max-ziplist-size,active-defrag-ignore-bytes,active-defrag-threshold-lower,"repl-disable-tcp-nodelay(1=yes,0=no)",hll-sparse-max-bytes,hz,6.0.5performance(requests per second)
8,113,577,-2,250,18,0,11533,40,60606.06
10,33,334,-4,257,11,1,5417,273,59880.24
1,123,538,-5,228,9,1,3959,176,59880.24
10,74,816,-1,243,15,0,2854,106,59880.24
7,42,360,-1,281,9,0,13148,123,59523.81
5,101,609,-3,140,19,1,13642,378,58823.53
7,41,417,-1,262,11,1,222,108,66666.66
1,106,496,-4,219,5,0,3892,423,65789.48
5,122,851,-4,221,6,1,7179,177,64935.07
7,100,474,-5,136,11,0,594,49,64102.56
3,48,308,-2,171,11,0,14831,3,64102.56
4,99,405,-4,208,18,0,10245,2,63291.14
8,127,619,-1,227,18,1,14189,391,62111.8
2,69,309,-2,278,9,1,9134,487,62111.8
6,120,618,-3,222,8,1,10328,494,61728.39
9,56,529,-4,197,20,1,14983,396,61728.39
4,53,485,-1,259,18,1,14908,281,61728.39
6,69,542,-4,134,16,0,12076,190,61349.69
6,37,391,-5,274,8,1,6670,49,60606.06
6,81,680,-4,245,6,0,13158,25,59880.24
9,39,994,-1,121,7,1,3564,286,59880.24
8,85,915,-2,222,14,1,11332,464,59523.81
10,67,644,-1,280,6,0,12547,447,59523.81
7,50,713,-3,199,12,1,5726,261,64102.56
10,93,618,-2,169,16,1,14553,227,62893.08
4,118,878,-5,157,6,0,235,419,61728.39
9,37,553,-4,288,12,1,1393,107,61728.39
4,99,412,-3,185,5,0,7894,275,61728.39
2,83,965,-5,146,11,0,5612,340,60975.61
3,73,568,-4,120,7,1,9654,482,60606.06
1,102,324,-2,273,13,0,14995,208,59880.24
2,101,921,-4,195,18,1,14488,91,59880.24
3,36,481,-4,259,16,0,4027,314,67114.09
3,38,288,-5,113,6,0,2932,39,64516.13
5,65,525,-2,274,17,1,7383,243,64516.13
3,124,338,-3,140,12,0,2094,398,63694.27
4,96,533,-5,256,13,0,14703,377,62500
5,67,688,-5,107,15,1,4393,176,62500
7,51,616,-3,221,16,0,3135,228,62500
8,32,944,-4,157,7,1,9475,463,62500
8,117,520,-2,173,16,1,12958,7,62500
3,34,769,-4,136,15,0,2399,362,61728.39
1,50,579,-1,141,16,1,3638,51,61349.69
2,108,520,-5,170,19,0,2864,15,61349.69
9,53,855,-3,236,11,1,13567,452,61349.69
7,81,419,-3,172,6,1,4414,44,60606.06
