shared_buffers,effective_cache_size,bgwriter_lru_maxpages,bgwriter_delay,checkpoint_completion_target,deadlock_timeout,default_statistics_target,effective_io_concurrency,checkpoint_timeout,throughput
323MB,317MB,881,805ms,0.18848515,1s,2672,820,2520s,382.838363
336MB,484MB,44,9700ms,0.67542565,9s,2358,147,39s,374.345906
383MB,302MB,67,1021ms,0.87368256,9s,7686,830,2760s,366.010364
165MB,307MB,380,2442ms,0.40753955,3s,3177,359,780s,373.74136
511MB,461MB,247,250ms,0.44825274,5s,3359,227,1920s,372.7382
217MB,428MB,772,7291ms,0.4396611,1s,6981,618,1500s,369.789959
74MB,453MB,676,8578ms,0.3989612,2s,482,793,36s,366.066651
103MB,218MB,439,8360ms,0.5344346,8s,6606,487,1680s,373.871997
409MB,440MB,932,4672ms,0.021744967,9s,6873,55,2760s,361.2132
138MB,197MB,383,5547ms,0.22375232,6s,4926,963,480s,361.522237
319MB,117MB,899,6513ms,0.8643056,5s,2966,903,2520s,375.725757
118MB,153MB,582,5431ms,0.13875711,2s,4096,725,31s,367.618278
484MB,103MB,253,9791ms,0.2763756,2s,2878,386,360s,369.101044
508MB,380MB,177,3330ms,0.20358795,7s,6777,694,52s,368.407125
153MB,407MB,452,2578ms,0.924984,9s,2682,86,46s,370.479142
334MB,188MB,556,2492ms,0.10454613,1s,2493,108,37s,373.588718
235MB,309MB,801,8945ms,0.15813708,4s,7114,151,540s,361.632302
458MB,85MB,366,2514ms,0.5736778,6s,4212,400,44s,359.977429
448MB,286MB,767,2764ms,0.3810032,4s,5441,760,240s,375.007711
162MB,351MB,533,4071ms,0.2918548,9s,2936,342,3000s,371.867499
248MB,479MB,916,5056ms,0.053858817,5s,2858,456,2640s,371.353469
474MB,459MB,71,3791ms,0.034447312,1s,5439,52,2640s,369.040306
344MB,323MB,494,8890ms,0.70999753,3s,4713,457,2040s,373.651287
273MB,282MB,957,488ms,0.68742204,2s,500,339,36s,371.011143
396MB,270MB,464,8820ms,0.06929809,2s,6429,297,3360s,371.418102
347MB,353MB,489,2992ms,0.11284405,2s,2415,708,1800s,375.805034
442MB,484MB,851,9582ms,0.3980772,3s,1067,654,1140s,354.402787
179MB,329MB,195,5998ms,0.2895103,5s,1138,194,1500s,376.886155
242MB,94MB,920,1780ms,0.65741295,6s,2676,47,2400s,376.221332
290MB,240MB,953,3258ms,0.6567728,2s,6939,113,54s,374.606498
434MB,104MB,616,9938ms,0.81492496,2s,4862,163,1500s,367.083481
228MB,124MB,609,9527ms,0.2232663,3s,6648,715,300s,369.544753
493MB,223MB,947,4263ms,0.97476304,3s,4597,880,300s,361.669547
428MB,117MB,322,8700ms,0.4902184,7s,5357,87,54s,362.994265
328MB,99MB,704,3769ms,0.43424863,2s,9673,512,57s,369.756332
478MB,424MB,198,1225ms,0.31862837,9s,2093,224,59s,374.339146
217MB,217MB,984,7976ms,0.87017566,1s,6035,161,2580s,365.168815
